OBJECTID *,Name,Description,Map,WEBSITE,Latitude,Longitude,PIC_URL
100,Rainier,,,,46.091662,-122.941224,
101,Fort Steven State Park,,,,46.182414,-123.962345,
102,Cannon Beach,,,,45.902214,-123.955077,
103,Cape Meares,,,,45.482157,-123.961879,
104,Pacific City,,,,45.223061,-123.820093,
1,Warm Bay Recreation Site,,,,59.411013,-133.577547,https://lh3.googleusercontent.com/pw/AP1GczN7xGFmVnXlOIjEo4J-MFdvhS1z2ihY1yEuS8KffdlbWxCRW3Rg1OuBGiWy7hQ1ts2UCzn0ihA6X-18OuymasOC5LLSsG__ojnkOjPuKlTXAUO7n2eBGZnkhTldN1VE5KeF5AOMsdu2kAIJF8OzK9PdsQ=w1695-h1271-s-no-gm?authuser=0
2,McDonald Lake,,,,59.711828,-133.577958,https://lh3.googleusercontent.com/pw/AP1GczPZLv6pO6beJuVKJ3couFmtNrF-4Na3Ki8saM_rEJRmJxFp34unF5YEhIQne3sSeBKFvgJ8uYSwroICnFbwCdR-Y50g7o_u5KMaF-P7Db6c8QRVOh36Vxj2DKGV1Oi9IuiMn-qosDlPTJ7-S3AC-UIvDQ=w1695-h1271-s-no-gm?authuser=0
3,Kusawa Lake,,,,60.584634,-136.142892,https://lh3.googleusercontent.com/pw/AP1GczMJAiOSP4vUpKzVC5HUWb59qkhEK8tDyOtHamk_IVVJyTZwVlYh8RPqK7_iU6lNz9E9t6juG92ig63YqFJf0tOwmFTbqQ1XLh2lu-b6RFB_W93cB5jfZsu7PxAPlU4Uu9PJMDjmeblOh6Y1eAdMw-RoUA=w1740-h1305-s-no-gm?authuser=0
4,Fox Lake,,,,61.244482,-135.462124,https://lh3.googleusercontent.com/pw/AP1GczM-jWfuPAbLBsP1153ShedWrISLDwb-LTFUdv940qEU-Zw72Avw8KPzW7hVKAV1eRSIjcB6B3TvLo_t0vIQQfe0kjZIsKb_8yBBK6rzE70eHI6n1MWqpdMhMa_QR42TWPJIWS9IJkKrT8j4kdR5ztm3rw=w1740-h1305-s-no-gm?authuser=0
5,Lewes Lake,,,,60.368538,-134.820564,https://lh3.googleusercontent.com/pw/AP1GczMqG29GIq2i0O0f9LXW64UB0FdltFioL7G3bIoun_Bt5l-38b6yXtteDtv8gE-FkEOvFsT0MJnLjFaP5wiVxAY2ffmoQ7qIX137AgdLLw5pAWZ5JfC-yeI5g_oWvM97nf1eVEkmjfv3Qr0AybN0IqL2gw=w1740-h1305-s-no-gm?authuser=0
6,Tutshi Lake,,,,59.884943,-134.790731,https://lh3.googleusercontent.com/pw/AP1GczMba_FFTdOImVjIlvC4Vzbv__ZiiuioU0gV48WrYGIYpc_XA05_FttwnaNsDrQ_u80CVxkfV-8Hs2Mu8CMegUW4JH5o7uxqqpfYr1qpMzhSMtL9WTU2PRS0TF0wcxVnHrLzZBWHL4Ul6gyzCd_Ac6q_jQ=w979-h1305-s-no-gm?authuser=0
7,Conrad Campground,,,,60.066139, -134.562801,https://lh3.googleusercontent.com/pw/AP1GczPYfQvUy_hkl5Imo0TcX3_fwzWm4uGq1-9kviGUu-7swv_uVGKcgrVOgJnkKSkZYwIOrRuZ36TkcNn2UV7-yCm7oQMOnxvMUjGOwaXGTOS1RW3ITqlkkcuaMydMSTwRHW2RT0Yek2VdMAXRaQb2T_pBqw=w1739-h1305-s-no-gm?authuser=0
8,Haines Junction,,,,60.748172, -137.509214,https://lh3.googleusercontent.com/pw/AP1GczOGJejSTqYevDuUZ9DZ-XtjYdOeUGoUHpU3TXJs4qNkOYkbjLFKJ8mrS6gYP2Po7u4IaGBAwWjOFt8dQuKcFIj-LGJZxPMs4kbjt0j8AGdTAI6qDpeBhM9UAkzxmvgKhycTA3ymPeDNE2E5SynXoZ50zQ=w1740-h1305-s-no-gm?authuser=0
9,Parade Field,,,,59.227642, -135.444106, 
10,Mud Bay,,,,59.182425, -135.401491,https://lh3.googleusercontent.com/pw/AP1GczOCWl91GscuzCIEqWL57lGeMPB-dGF_BecxsO8lZcWJxZLjk53LvxFr9tasdooKgLdTEnrM6GEKLvPDNi6Lb4DPnxVgZYDOFjShPnwq7iWObSEYgXdhnFdvoTdQeRAZp84U2fjf8Te5xzDDEtMl3LBoyg=w1740-h1305-s-no-gm?authuser=0
11,Continental Divide,,,,60.073673, -130.941517,
12,Boya Lake,,,,59.372368, -129.106485,
13,Kinaskan Lake,,,,57.529734, -130.189846,https://lh3.googleusercontent.com/pw/AP1GczMh5fmXUep7jnaAq4vtvFcem7a2fwuTinthmAPUaZ_SOIai3hnJUHDsDbeLyXf3CTZ57GlFYTkMrG9iEsxEO652vI50qKr-OOmaUQTUGqYAHnFz94VPyhUHv-EeW4ftX_bUXUCX3QVRwaC-in7Pwp9sgQ=w979-h1305-s-no-gm?authuser=0
14,Salmon Glacier,,,,56.169450, -130.051532,https://lh3.googleusercontent.com/pw/AP1GczP8T-qIOPeL_jLm3V1mw2OkLobAyn-uRK5fiheP-csJZ0Blk8HGNOoReamJAoqsN_-V_KH_zdhayG5-LqGb9P3bXIZ2M7vAo5YWAEaETsmX0kUdMqngO_njBdlTRzoVFYRUw8QJkATf-NWECEGUshuBrg=w1740-h1305-s-no-gm?authuser=0
15,Skeena River,,,,54.710877, -128.314802,https://lh3.googleusercontent.com/pw/AP1GczONer1L46CtHl1297xBeYkRLP9WFcP7m6XbkBXo3WH7i4qCIcKe--Iu1mb2Q88X052cZAWkCiSNmCQ9e0Mo7yQje6ApqEn7mGUCvx1KguSGybJbIu7yuDuf54WCu3uG-hTfl5joWI8MXE5oH2Gd7pTYHg=w1740-h1305-s-no-gm?authuser=0
