OBJECTID *,Name,Description,Map,WEBSITE,Latitude,Longitude,PIC_URL
1,Aishihik Lake,"Aishihik is a misspelling of the Southern Tutchone word Äshèyi, which refers to the village site “at the head of the lake, base of the mountains, where the ranges meet.” The lake is also called Män Shäw* for “big lake.” The Aishihik bison herd was re-introduced to this area in the 1980s. Look for tracks and scat along the roadside. This long lake is popular for fishing, but beware of strong winds and waves. Check for road conditions and exercise caution on the narrow gravel road.",https://yukon.ca/sites/yukon.ca/files/env/env-aishihik-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/aishihik-lake,61.197,-136.995,https://lh3.googleusercontent.com/pw/ADCreHcI1Arebumj0k_UTRK-vpqPNg_YqrFR_LK7rIOBq7ZTZYHSaKCJrRSrw3TUeDbWuWUBx0-1vc6w07VlbmIyTf2p8N4MCoS_rK5bRo17ogFrTctRVTLSEKTmSI1B5ahhmYHGy7V15hK4KFua2VW7xtlzoA=w1560-h460-s-no?authuser=0
2,Tatchun Lake,"With many small bays, islands, and shoreline vegetation, Tatchän Män* is an interesting place to paddle. The dock at the campground is accessible by foot, whereas the boat launch is two kilometres away on Frenchman Road. Ancient camps on both lakes are still used today by the Little Salmon/Carmacks First Nation to fish whitefish, trap beaver and hunt caribou and moose.",https://yukon.ca/sites/yukon.ca/files/env/env-tatchun-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/tatchun-lake,62.299,-136.139,https://lh3.googleusercontent.com/pw/AL9nZEWoDbo_jaS4cH35CG4Ub3LdxyPkqCSJbF-AmdcZWfCTxFlsDUm9sumCkeONWBqcDAeJsyJR5sr5ofXLFFR9PfDZQ0lRSxwp9EIvuhu30KTmeQFheG-ajNGkt5wzkxQTTUTzJmMrp51sEpGKS8T_FbJf=w1249-h937-no?authuser=0
3,Snafu Lake,"The Snafu-Tarfu lake system is popular among Yukon residents for canoe trips. The small bays, islands and peninsulas make the lakes friendly for children and beginners. Check for special fishing restrictions at these lakes that help protect sensitive lake trout populations. Snafu is a military acronym for “Situation Normal — All ‘Fouled’ Up.” Both the Snafu and Tarfu campgrounds were former forest fire crew camps in the late 1950s. The U.S. army spent nearly half a million dollars to construct the camps, which were dismantled after the road’s completion.",https://yukon.ca/sites/yukon.ca/files/env/env-snafu-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/snafu-lake,60.133979,-133.809416,https://lh3.googleusercontent.com/pw/ADCreHfIPTVNxIpj6n_PYv-K0aT1iRCoLEap0AYaTnwQjHfGxkHqCP8yGnjGjHiieh_5Nh99DSjwRv3nlN62iZ0P1q_T9xgjqTWKhsKr73aRjEvrCVuy7dIu7pc8JmrLI4Eqp1s9JXfkiafW3LqQjrzn14n5wQ=w698-h931-s-no?authuser=0
4,Yukon River,"This popular campground, across the river from Dawson City, is the largest in Yukon. It is enjoyed by residents and visitors for its proximity to town and access to a beach and the sternwheeler graveyard. The campground is accessible via a free ride on the George Black Ferry from mid-May to mid-October. From the viewing deck overlooking the Yukon River, look for peregrine falcons. The campground is especially busy during the Dawson City Music Festival in late July.",https://yukon.ca/sites/yukon.ca/files/env/env-yukon-river-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/yukon-river,64.072,-139.439,https://lh3.googleusercontent.com/pw/AL9nZEWQdIYqdoRnZ9oJBDm5-fyWpLeaEh-N7XydCw6bb4TCRp6RwHWxgph-zogPQ_DSk6jSaTKf_KNPkdKjjLwunfFKxVNg5i2fbs99oJ8blz4KIVSKU3VLi4BmEXI8Xv4IWu8D4Vn-c0HI6-heZPsD_Jua=w1250-h937-no?authuser=0
5,Dezadeash Lake,"Those pitching a tent should secure it well as this spot is known for its high winds. Popular for lake trout fishing, Dezadeash is also one of Yukon’s warmer lakes due to its shallowness. Various migratory birds stage here on their spring journey. The name Dáas’ediyaash* is of Tlingit origin. The lake’s Southern Tutchone name, Titl’àt Män*, “end of lake,” refers to its position at the head of the drainage system.",https://yukon.ca/sites/yukon.ca/files/env/env-dezadeash-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/dezadeash-lake,60.398,-137.047,https://lh3.googleusercontent.com/pw/ADCreHe5q7NBfNewN2ApgJvLR5WvLYockla64VUZejbFUPkYpg7jlRJzKvmntLL-XXTJE6iv5iG2Uvtjanw-khepY4LKKTJ2Q6CWcuEyXQAQiOlD08k42Bnn0nYYruxU-xKjQeSZHr3zgJ3CH37gh-VmTm8I9g=w1241-h931-s-no?authuser=0
6,Conrad,"Yukon’s newest campground is located on Tagish Lake’s Windy Arm, about 16 km south of Carcross. Several sites overlook the lake, and the campground offers a new playground, viewing scope and walk-in sites. Explore the adjacent Conrad Historic Site, where the small town of Conrad City supported the Venus silver mine in the early 1900s. The campground is also a base for nearby hikes. The Sam McGee Trail was named after the man made famous by Robert Service's poetry, who also built the first road from Carcross to the mine’s tramway. Also called the Mountain Hero Trail, it connects with the rest of Carcross's famous mountain bike trail system.",https://yukon.ca/sites/yukon.ca/files/env/env-conrad-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/conrad,60.063,-134.56105,https://lh3.googleusercontent.com/pw/AL9nZEVIKGsOaMIZXggGIQ7gdbS69O7eV81UVv5AFZqDjwTLBSQLzzL8AwSqiido3l92MNMO-2QzLow3WBrZl6wgyVnXQKPR65SRPn1n9eVkN5BUV8ssgIjXfYiMfR_sYcST5Kc4C7uovSJGoZsp2u4142PF=w703-h937-no?authuser=0
7,Moose Creek,"An interpretive trail heads to the Stewart River along Moose Creek, through open forest to willows on the floodplain. Look for old spruce trees along the ridge. Both the river and creek have popular fishing holes. Be bear aware. The small ponds in the area mean mosquitoes are common in the summer, attracting birds such as the northern waterthrush, Wilson's warbler and common yellowthroat.",https://yukon.ca/sites/yukon.ca/files/env/env-moose-creek-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/moose-creek,63.509,-137.026,https://lh3.googleusercontent.com/pw/AL9nZEXaAW0u7syLIAmpxrSYSUtWezEDJwzm2pT4GZRLnl3cJEaCqTvahcXB0w_IUp2EG0Opqhk2SVyDtEGxPl_7iNwS62SmbjfSUeSs5cfPol8Vj_fEfRMLwzhd_OoCiTR7uTW9GbsjqBwWSXOCES1XfgSM=w703-h937-no?authuser=0
8,Tombstone,"The campground is often used as a base for travellers heading up the Dempster Highway or into Tombstone Territorial Park. Plan to arrive early as it usually  lls up quickly. A short foot trail connects the campground to the Tombstone Interpretive Centre (open seven days per week from late May to mid-September), which offers free interpretive walks, talks, and special events. Check the schedule posted and online. Several hiking trails begin at or near the campground. A one-kilometre, wheelchair-accessible interpretive trail leads from the centre to a beaver pond. Another trail loops from the campground, introducing you to the tundra. A third trail continues along the banks of the North Klondike River. For more information on day-hikes and routes throughout the park, visit yukonparks.ca and pick up a copy of the brochure A Guide to Tombstone Territorial Park",https://yukon.ca/sites/yukon.ca/files/env/env-tombstone-mountain-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/tombstone-mountain,64.507,-138.221,https://lh3.googleusercontent.com/pw/ADCreHc3OA8L4ZNKPD5_fgdfbaAINqWspUwCAe5dMcJmkrn6j4ZGCx8Vwhldi-ZizVcEyMuAj01A8FVXpdQ5rOWHiVkdedfYbofTVXFqkde5x5J50EkxFMmF50q-YIrzAoEWkL5EZ-Q69hHbFSa7BSJ7uhEkTA=w698-h931-s-no?authuser=0
9,Kusawa Lake,"The lower Takhini River begins at Kusawa Lake, and many kayakers and canoeists launch their river journey at the campground. Kusawa Lake is popular for boating, fishing and hiking in the nearby mountains, but beware of high winds and waves. With binoculars, you may see Dall’s sheep on the mountains. If you plan to camp here on a long weekend, have a back-up plan in case the campground is full.",https://yukon.ca/sites/yukon.ca/files/env/env-kusawa-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/kusawa-lake,60.585,-136.146,https://lh3.googleusercontent.com/pw/AL9nZEXmBkLlqXTxxtguTqPokmopWghl-r5ZSAy3G0yqnoYHL-wMbyKCQPucQrO3z5TqqICBG675e3SD_68CLrAp3_SsrJ1MfVvacbB3tJghPFH6g-AzOXo-UFz9Z3Zjq7o7cKEJ0LvWboq3CUlECZUa_0GT0Q=w703-h937-no?authuser=0
10,Wolf Creek,"Situated in an old white spruce forest near Whitehorse, this campground is often busy with travellers and residents. Check the website for seasonal trends and consider a back-up option. The three-kilometre interpreted Yukon River Trail begins at the campground and passes through the boreal forest to a scenic view of the river. This section is wheelchair-accessible. The loop returns along Wolf Creek, where Chinook salmon spawn in late summer and early autumn. Visit the salmon fishway and interpretive site at the campground entrance. This is also a great place to spot forest birds. The shorter Escarpment Trail climbs to a sage and aspen-covered overlook of the Wolf Creek valley. Two cook shelters are available while the day-use area offers a playground, benches, picnic tables and fire pits for the whole family.",https://yukon.ca/sites/yukon.ca/files/env/env-wolf-creek-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/wolf-creek,60.607,-134.943,https://lh3.googleusercontent.com/pw/AL9nZEVlQ53V5Py7DWfJ3nIPZTLWEH0kG04rTUdW6Rd7nLzSA9gC7I57YgxeYCwC3cW210mNkZqQ1B3Bdr9v-tOQE8YKx0RnO1izyg-2H9oM_0j-Dl58A50nTpoMDrS8wRoyQKipz8URTgWq8uPH1h18p_mtRQ=w1600-h720-no?authuser=0
