OBJECTID *,Name,Description,Map,WEBSITE,Latitude,Longitude,PIC_URL
1,Aishihik Lake,"Aishihik is a misspelling of the Southern Tutchone word Äshèyi, which refers to the village site “at the head of the lake, base of the mountains, where the ranges meet.” The lake is also called Män Shäw* for “big lake.” The Aishihik bison herd was re-introduced to this area in the 1980s. Look for tracks and scat along the roadside. This long lake is popular for fishing, but beware of strong winds and waves. Check for road conditions and exercise caution on the narrow gravel road.",https://yukon.ca/sites/yukon.ca/files/env/env-aishihik-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/aishihik-lake,61.197,-136.995,https://lh3.googleusercontent.com/pw/AL9nZEUs0dae9tjnfksNadMwAGpsp2H9qDTSrma5BmOyraqBDFlQ3nxynZhy1JyOdSyuYjU1xLvJ6MpfNlrORMYy8yMXsK8lACDBTGUf3snjwn9bjFpRZpVq-MB9QybzKYIy9m6ooz_0NDQ7i8da0SjT0Lmt=w703-h937-no?authuser=0
2,Congdon Creek,"Due to the high grizzly bear use of the are, tenting is only allowed inside the electric fence. The Southern Tutchone and official alternate name for the creek, Khär Shän Nji, means “big roots broken down,” recalling flash floods that occurred long ago. A 500 m interpretive trail beginning at the campground leads along the shoreline of ?ù’àn Män (Kluane Lake), Yukon’s largest lake. Make noise and bring your bear spray!",https://yukon.ca/sites/yukon.ca/files/env/env-congdon-creek-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/congdon-creek,61.15,-138.557,https://lh3.googleusercontent.com/pw/AL9nZEXVs-nTUQVczb1DTbkPFBqLBQRpGwXsQY1oYhQWL46TQMs_gouCwDoi50m8lf5_0eJ9EHEyaq9jpsFBJy3vvEGPX8zWibNotrJkflIVTKQ6_3bYgBm2dhEF1OrBOqYS0bZFcbpGeh0olZ_kfBzmzYkLZw=w1600-h720-no?authuser=0
3,Conrad,"Yukon’s newest campground is located on Tagish Lake’s Windy Arm, about 16 km south of Carcross. Several sites overlook the lake, and the campground offers a new playground, viewing scope and walk-in sites. Explore the adjacent Conrad Historic Site, where the small town of Conrad City supported the Venus silver mine in the early 1900s. The campground is also a base for nearby hikes. The Sam McGee Trail was named after the man made famous by Robert Service's poetry, who also built the first road from Carcross to the mine’s tramway. Also called the Mountain Hero Trail, it connects with the rest of Carcross's famous mountain bike trail system.",https://yukon.ca/sites/yukon.ca/files/env/env-conrad-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/conrad,60.063,-134.56105,https://lh3.googleusercontent.com/pw/AL9nZEVIKGsOaMIZXggGIQ7gdbS69O7eV81UVv5AFZqDjwTLBSQLzzL8AwSqiido3l92MNMO-2QzLow3WBrZl6wgyVnXQKPR65SRPn1n9eVkN5BUV8ssgIjXfYiMfR_sYcST5Kc4C7uovSJGoZsp2u4142PF=w703-h937-no?authuser=0
4,Dezadeash Lake,"Those pitching a tent should secure it well as this spot is known for its high winds. Popular for lake trout fishing, Dezadeash is also one of Yukon’s warmer lakes due to its shallowness. Various migratory birds stage here on their spring journey. The name Dáas’ediyaash* is of Tlingit origin. The lake’s Southern Tutchone name, Titl’àt Män*, “end of lake,” refers to its position at the head of the drainage system.",https://yukon.ca/sites/yukon.ca/files/env/env-dezadeash-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/dezadeash-lake,60.398,-137.047,https://lh3.googleusercontent.com/pw/AL9nZEW2yWmmoFwAa1fpSA7KhB_Ypon_3R_LgG4hc_svZrB7xi6kHE-8U6DqbGenXomOQ7Eh_s7MjS1uEjkwlhhJWek7brG85VwgQY82i0cWeK1RE7tuy6a9_adxLSHUaT3BplFNMxxAieHxOMq4KnJdt_AP=w384-h512-no?authuser=0
5,Fox Lake,"Close to the highway, this campground provides ready access to Fox Lake, a favourite for boaters. The sheltered bay at the south end of the lake makes for a great canoeing spot. Muskrats are a common sight as they feed on aquatic vegetation.",https://yukon.ca/sites/yukon.ca/files/env/env-fox-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/fox-lake,61.248,-135.459,https://lh3.googleusercontent.com/pw/AL9nZEVcIj-OhsHoZKSlwAwEm7Q_a5tG745HSqlTWr4e8nMO0-azgsFHRZGnBejVX9nWm-_mWNMJeswWoSmiEo4FFBx1utqsUVm_KKuF66bYHytRTpRaOdId_ypDRPHlD_kjd8QDsZFfFbU6MXeApl1LxKRVJg=w703-h937-no?authuser=0
6,Frenchman Lake,"This small, cozy campground offers good access to Frenchman Lake for boating and swimming from the dock. Check for road conditions before you go, and drive carefully on this winding gravel road, especially after rain.",https://yukon.ca/sites/yukon.ca/files/env/env-frenchman-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/frenchman-lake,62.118,-135.698,https://lh3.googleusercontent.com/pw/AL9nZEX0M_60rWKaFWMkNsWrWn7OzYq2T90LKlPNGZLT2h4dXfKgp0HzWqBjzdy17azzKDMzcevna_qnRyOBBMlKaO7jVLWUz0WBnLjIbrZafdtV67bzqMzzf71ivw7E2Avqmvmh18cjjeMftvLc0IflkVLqFw=w703-h937-no?authuser=0
7,Kusawa Lake,"The lower Takhini River begins at Kusawa Lake, and many kayakers and canoeists launch their river journey at the campground. Kusawa Lake is popular for boating, fishing and hiking in the nearby mountains, but beware of high winds and waves. With binoculars, you may see Dall’s sheep on the mountains. If you plan to camp here on a long weekend, have a back-up plan in case the campground is full.",https://yukon.ca/sites/yukon.ca/files/env/env-kusawa-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/kusawa-lake,60.585,-136.146,https://lh3.googleusercontent.com/pw/AL9nZEXmBkLlqXTxxtguTqPokmopWghl-r5ZSAy3G0yqnoYHL-wMbyKCQPucQrO3z5TqqICBG675e3SD_68CLrAp3_SsrJ1MfVvacbB3tJghPFH6g-AzOXo-UFz9Z3Zjq7o7cKEJ0LvWboq3CUlECZUa_0GT0Q=w703-h937-no?authuser=0
8,Marsh Lake,"A popular beach in summer, Marsh Lake Campground has two loops with many sites adjacent to the lake. M'Clintock Bay is an important rest stop for thousands of trumpeter swans and other waterbirds on their spring migration. Visit the nearby Swan Haven Interpretive Centre during the month of April.",https://yukon.ca/sites/yukon.ca/files/env/env-marsh-lake-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/marsh-lake,60.561,-134.448,https://lh3.googleusercontent.com/pw/AL9nZEX7mNgALKJigeG6Poijb_idWfkCbKMPKpUZEuzvryvb584E2icVx8K6gimNiQkDQnpJphsmI8myPGU1WmzDF_KPpllnGN97Ev427GTT781qXKLU2nUqFmO0lEPyG7w1QEXQZuoYbH-kDzkcY5fuWmSRQw=w422-h937-no?authuser=0
9,Million Dollar Falls,"A carefully crafted boardwalk leads to a lookout where visitors can watch the Takhanne River drop from a height of 60 metres. Million Dollar Falls is also the endpoint of the Chinook salmon upstream spawning run, which occurs in July. The name originates with a lavish U.S. army maintenance camp that was constructed here in the 1940s during the building of the Haines Road and Haines-to-Fairbanks pipeline, complete with barracks, officers' quarters and a 21-toilet bathing room. Rumour spread that the camp cost a million dollars to build, but it was never actually used.",https://yukon.ca/sites/yukon.ca/files/env/env-million-dollar-falls-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/million-dollar-falls,60.108,-136.942,https://lh3.googleusercontent.com/pw/AL9nZEVmoQdBDfcJGo266JUN3eldWawqdo6ofn3KrE9YhZsOIYGSYZeu7RvCUeTInSOnDH4kP3Qr_4BClChnpFiYolzOrO0EMG6vIWF3UPgJYjAgLX59_S62quYVwOFZpuog1Pp08uwFp4RbTr4c7U8JUlHMEQ=w422-h937-no?authuser=0
10,Moose Creek,"An interpretive trail heads to the Stewart River along Moose Creek, through open forest to willows on the floodplain. Look for old spruce trees along the ridge. Both the river and creek have popular fishing holes. Be bear aware. The small ponds in the area mean mosquitoes are common in the summer, attracting birds such as the northern waterthrush, Wilson's warbler and common yellowthroat.",https://yukon.ca/sites/yukon.ca/files/env/env-moose-creek-campground.pdf,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/moose-creek,63.509,-137.026,https://lh3.googleusercontent.com/pw/AL9nZEXaAW0u7syLIAmpxrSYSUtWezEDJwzm2pT4GZRLnl3cJEaCqTvahcXB0w_IUp2EG0Opqhk2SVyDtEGxPl_7iNwS62SmbjfSUeSs5cfPol8Vj_fEfRMLwzhd_OoCiTR7uTW9GbsjqBwWSXOCES1XfgSM=w703-h937-no?authuser=0
